Date;Open;High;Low;Close*;Adj Close**;Volume
Feb 25, 2022;4.5730;4.7160;4.4170;4.4700;4.4700;184,107
Feb 24, 2022;4.6030;4.9400;4.2930;4.5680;4.5680;184,107
Feb 23, 2022;4.5040;4.7040;4.4520;4.6230;4.6230;47,18
Feb 22, 2022;4.5940;4.8610;4.4480;4.4980;4.4980;42,641
Feb 18, 2022;4.5170;4.6540;4.3710;4.4310;4.4310;73,219
Feb 17, 2022;4.6420;4.7930;4.4020;4.4860;4.4860;117,789
Feb 16, 2022;4.3930;4.7400;4.3700;4.7170;4.7170;155,48
Feb 15, 2022;4.1830;4.4280;4.1570;4.3060;4.3060;141,954
Feb 14, 2022;4.1030;4.2290;4.0400;4.1950;4.1950;121,204
Feb 11, 2022;3.9440;4.0560;3.8760;3.9410;3.9410;177,373
Feb 10, 2022;4.0350;4.0680;3.8820;3.9590;3.9590;141,74
Feb 09, 2022;4.2110;4.2590;3.9830;4.0090;4.0090;154,599
Feb 08, 2022;4.2760;4.3810;4.1730;4.2480;4.2480;154,444
Feb 07, 2022;4.3840;4.4680;4.1200;4.2320;4.2320;192,859
Feb 04, 2022;4.9290;5.0870;4.4870;4.5720;4.5720;152,119
Feb 03, 2022;5.4200;5.4540;4.8160;4.8880;4.8880;205,841
Feb 02, 2022;4.8930;5.5720;4.8570;5.5010;5.5010;305,898
Feb 01, 2022;4.9210;4.9740;4.6200;4.7510;4.7510;140,785
Jan 31, 2022;4.8670;5.0570;4.6950;4.8740;4.8740;156,746
Jan 28, 2022;4.3420;4.8760;4.2860;4.6390;4.6390;263,418
Jan 27, 2022;4.2300;7.3460;4.2300;6.2650;6.2650;193,252
Jan 26, 2022;4.0400;4.3900;4.0110;4.2770;4.2770;44,321
Jan 25, 2022;3.9590;4.0790;3.8890;4.0530;4.0530;23,443
Jan 24, 2022;3.9150;4.0680;3.8760;4.0270;4.0270;47,1
Jan 21, 2022;3.8380;4.0440;3.8330;3.9990;3.9990;70,256
Jan 20, 2022;4.0150;4.0370;3.7810;3.8020;3.8020;104,199
Jan 19, 2022;4.3270;4.3850;4.0100;4.0310;4.0310;116,542
Jan 18, 2022;4.3560;4.3900;4.2160;4.2830;4.2830;119,454
Jan 14, 2022;4.2630;4.3050;4.0970;4.2620;4.2620;108,856
Jan 13, 2022;4.7910;4.8440;4.2450;4.2700;4.2700;221,612
Jan 12, 2022;4.2250;4.8790;4.1860;4.8570;4.8570;217,499
Jan 11, 2022;4.1190;4.2610;4.0070;4.2490;4.2490;121,623
Jan 10, 2022;4.1440;4.2130;3.9770;4.0790;4.0790;177,628
Jan 07, 2022;3.8600;3.9800;3.8000;3.9160;3.9160;127,012
Jan 06, 2022;3.8420;3.9310;3.8010;3.8120;3.8120;116,579
Jan 05, 2022;3.7470;3.8970;3.7170;3.8820;3.8820;96,811
Jan 04, 2022;3.8170;3.9440;3.7090;3.7170;3.7170;133,394
Jan 03, 2022;3.7020;3.8580;3.6380;3.8150;3.8150;99,069
Dec 31, 2021;3.5890;3.7940;3.5720;3.7300;3.7300;93,098
Dec 30, 2021;3.8530;3.9660;3.5360;3.5610;3.5610;124,667
Dec 29, 2021;4.0800;4.2610;3.9050;4.0240;4.0240;141,906
Dec 28, 2021;4.0650;4.1540;3.9550;4.0550;4.0550;35,643
Dec 27, 2021;3.9580;4.0870;3.7670;4.0600;4.0600;38,911
Dec 23, 2021;3.9700;4.0060;3.5990;3.7310;3.7310;82,233
Dec 22, 2021;3.8700;4.0410;3.8160;3.9760;3.9760;86,619
Dec 21, 2021;3.8400;3.9470;3.7190;3.8690;3.8690;128,438
Dec 20, 2021;3.6450;3.9240;3.6420;3.8340;3.8340;128,582
Dec 17, 2021;3.7830;3.8140;3.6170;3.6900;3.6900;101,625
Dec 16, 2021;3.8140;3.9760;3.7290;3.7660;3.7660;122,851
Dec 15, 2021;3.7850;3.9260;3.7660;3.8020;3.8020;110,311
Dec 14, 2021;3.8020;3.8400;3.6860;3.7470;3.7470;116,826
Dec 13, 2021;3.9750;4.0850;3.7700;3.7940;3.7940;162,586
Dec 10, 2021;3.7980;3.9650;3.7600;3.9250;3.9250;133,283
Dec 09, 2021;3.8180;3.9240;3.7250;3.8140;3.8140;141,107
Dec 08, 2021;3.7340;3.9310;3.7230;3.8150;3.8150;146,872
Dec 07, 2021;3.6800;3.8290;3.6570;3.7080;3.7080;162,973
Dec 06, 2021;3.8260;3.8860;3.6300;3.6570;3.6570;176,715
Dec 03, 2021;4.1050;4.2850;4.0660;4.1320;4.1320;124,765
Dec 02, 2021;4.2650;4.3350;4.0420;4.0560;4.0560;145,506
Dec 01, 2021;4.6060;4.6640;4.2200;4.2580;4.2580;171,938
Nov 30, 2021;4.8730;4.9000;4.4820;4.5670;4.5670;171,822
Nov 29, 2021;5.1990;5.2000;4.8180;4.8540;4.8540;172,471
Nov 26, 2021;5.0250;5.5620;4.9830;5.4470;5.4470;141,778
Nov 25, 2021;5.0250;5.1220;4.9830;5.1190;5.1190;40,864
Nov 24, 2021;4.9920;5.1500;4.8800;5.0680;5.0680;40,864
Nov 23, 2021;4.7960;5.0820;4.7570;4.9670;4.9670;47,431
Nov 22, 2021;4.9100;4.9570;4.6480;4.7890;4.7890;96,186
Nov 19, 2021;4.8950;5.1560;4.8380;5.0650;5.0650;110,058
Nov 18, 2021;4.8960;5.0320;4.8300;4.9020;4.9020;111,027
Nov 17, 2021;5.1590;5.1650;4.8000;4.8160;4.8160;145,607
Nov 16, 2021;5.0580;5.3940;5.0240;5.1770;5.1770;141,14
Nov 15, 2021;4.9030;5.0650;4.7130;5.0170;5.0170;117,666
Nov 12, 2021;5.1290;5.1410;4.7520;4.7910;4.7910;137,099
Nov 11, 2021;4.9170;5.1760;4.8890;5.1490;5.1490;135,953
Nov 10, 2021;4.9620;5.0460;4.7250;4.8800;4.8800;170,388
Nov 09, 2021;5.4100;5.4670;4.9100;4.9790;4.9790;202,741
Nov 08, 2021;5.6050;5.6630;5.3800;5.4270;5.4270;154,221
